"id","text","replace","delete"
"1","映画通","映画つう","0"
"2","ガンダム00","ガンダムダブルオー","0"
"3","8 12","はっかにぶんのいち","0"
"4","Dr ","ドクター","0"
"5","Strange","ストレンジ","0"
"6","love","ラブ","0"
"7","ガンダムSEED","ガンダムシード","0"
"8","コメディ","コメディー","0"
"9","メロディ","メロディー","0"
"10","心配するのを止めて","心配するのをやめて","0"
"11","相対する","あいたいする","0"
"12","音信不通","おんしん不通","0"
"13","一悶着","ひと悶着","0"
"14","Zガンダム","ゼータガンダム","0"
"15","ロックマンDASH","ロックマンダッシュ","0"
"16","TYPE","タイプ","0"
"17","異星人","いせいじん","0"
"18","深掘り","ふかぼり","0"
"19","ザンボット3","ザンボットスリー","0"
"20","最終話","さいしゅうわ","0"
"21","今作","こんさく","0"
"22","他にも","ほかにも","0"
"23","ザビ家","ザビけ","0"
"24","舞人","マイト","0"
"25","ゲキガンガー3","ゲキガンガースリー","0"
"26","ダイターン3","ダイターンスリー","0"
"27","考え深い","かんがえぶかい","0"
"28","感慨深い","かんがいぶかい","0"
"29","良作","りょうさく","0"
"30","No1","ナンバーワン","0"
"31","後一歩","あといっぽ","0"
"32","ファイト・クラブ","ファイトクラブ","0"
"33","DTB","ダーカーザンブラック","0"
"34","現世","げんせ","0"
"35","仕立て","いたて","0"
"36","数日","数日","0"
"37","怒り","いかり","0"
"38","ニール・ブロムカンプ","ニールブロムカンプ","0"
"39","絵面","えづら","0"
"40","パーティ","パーティー","0"
"41",".hack","ドットハック","0"
"42",".SIGN","サイン","0"
"43","Serial experiments lain","シリアルエクスペリメンツレイン","0"
"44","The World","ザ・ワールド","0"
"45","Siri","シリ","0"
"46","Google","グーグル","0"
"47","Python","パイソン","0"
"48","AKIRA","アキラ","0"
"49","GANTZ","ガンツ","0"
"50","北斗の拳","北斗のけん","0"
"51","wiki","ウィキ","0"
"52","地球へ…","テラへ","0"
"53","GJ","グッジョブ","0"
"54","Fallout4","フォールアウトフォー","0"
"55","Vault","ボルト","0"
"56","Vault-Tec","ボルトテック","0"
"57","Vault111","ボルトひゃくじゅういち","0"
